,ward,Ward Name,Ward Classification,Assembly Constituency,Zone (CE),total,students,singles,ITfamilies,SITfamilies,NonITfamily,retired,seniors
188,1,KEMPEGOWDA,Outer,Yelahanka,Yelahanka,32437,6.791626846,10.10574344,39.64300028,20.28547646,9.862194408,4.023183402,9.288775164
190,2,CHOWDESWARI,Outer,Yelahanka,Yelahanka,32635,5.540064348,9.584801593,42.83438027,21.4371074,9.13742914,3.25723916,8.208978091
189,3,ATTUR,Outer,Yelahanka,Yelahanka,47005,6.584405914,10.50101053,39.48516115,20.11062653,10.4861185,3.763429422,9.069247952
185,4,YELAHANKA SATELLITE TOWN,Outer,Yelahanka,Yelahanka,38074,5.977832642,9.602353312,37.94452907,19.75363765,11.00751169,4.520144981,11.19399065
184,5,JAKKUR,Outer,Byatarayanapura,Yelahanka,43211,7.171784962,11.10596839,41.31124019,19.98102335,8.833398903,3.20983083,8.386753373
187,6,THANISANDRA,Outer,Byatarayanapura,Yelahanka,63778,5.484649879,9.873310546,44.85559284,19.37658754,8.968609865,3.314622597,8.126626736
186,7, BYATARAYANAPURA,Outer,Byatarayanapura,Yelahanka,60343,6.207845152,9.392970187,40.91609632,20.01226323,9.858641433,3.925890327,9.686293356
196,8,KODIGEHALLI,Outer,Byatarayanapura,Yelahanka,39902,5.989674703,9.696255827,41.54929577,19.42759761,9.007067315,3.904566187,10.42554258
195,9,VIDYARANYAPURA,Outer,Byatarayanapura,Yelahanka,45981,5.078184467,8.11204628,37.36760836,19.11441682,10.78053979,4.962919467,14.58428481
23,10,DODDABOMMASANDRA,Outer,Byatarayanapura,Yelahanka,24681,5.490053077,8.743567927,38.03330497,19.85738017,11.06114015,4.631092743,12.18346096
24,11,Kuvempu Nagar,Outer,Byatarayanapura,Yelahanka,34953,6.534489171,10.55417275,40.23975052,20.09841788,9.841787543,3.639172603,9.092209539
21,12,SHETTIHALLI,Outer,Dasarahalli,Dasarahalli,54359,7.294100333,10.60725915,41.09715043,19.97829246,9.547637006,3.324196545,8.15136408
22,13,MALLASANDRA,Outer,Dasarahalli,Dasarahalli,38736,7.011565469,10.10171417,44.87298637,20.19310202,8.942585708,2.875877736,6.002168525
19,14,BAGALAKUNTE,Outer,Dasarahalli,Dasarahalli,59958,7.315120584,10.549051,43.0551386,20.22582474,9.124720638,2.970412622,6.759731812
20,15,T DASARAHALLI,Outer,Dasarahalli,Dasarahalli,33855,6.067050657,9.404814651,44.18845075,20.59370846,9.118298626,3.296411165,7.331265692
17,16,JALAHALLI,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,27185,6.407945558,8.946109987,37.91061247,21.53025566,11.83741034,4.230274048,9.137391944
18,17,JP PARK,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,44248,5.772012294,8.42297957,38.86051347,19.98960405,10.61742904,4.149340083,12.1881215
25,18,RADHAKRISHNA TEMPLE,Inner,Hebbal,East,33435,4.713623448,7.282787498,36.23149394,21.79153582,11.42814416,4.528189023,14.02422611
26,19,SANJAYNAGAR,Inner,Hebbal,East,29047,4.516817572,7.067855544,36.19650911,20.97634868,10.89957655,4.719936654,15.6229559
43,20,GANGANAGAR,Inner,Hebbal,East,23928,5.257438984,8.567368773,38.79555333,21.06736877,10.66532932,4.133233032,11.51370779
42,21,HEBBAL,Inner,Hebbal,East,25432,5.634633533,7.986001887,38.3139352,21.20163573,10.61261403,4.317395407,11.93378421
41,22,VISHWANATH NAGENAHALLI,Inner,Hebbal,East,41721,5.222789483,9.196807363,42.24011888,19.91802689,10.2634165,3.995589751,9.163251121
40,23,NAGAVARA,Inner,Sarvagna Nagar,East,47734,6.890266896,9.672350945,43.23123979,19.69036745,9.316210667,3.393807349,7.805756903
47,24,HBR LAYOUT,Outer,Sarvagna Nagar,East,45674,5.679379954,8.611025967,40.3227219,20.04860533,10.06699654,4.153347638,11.11792267
46,25,HORAMAVU,Outer,K R Puram,Mahadevpura ,78623,5.138445493,8.524223192,42.36800936,19.67236051,9.86861351,4.094221793,10.33412615
45,26,RAMAMURTHY NAGAR,Outer,K R Puram,Mahadevpura ,41283,5.273357072,8.490177555,42.58653683,19.34452438,9.800644333,3.989535644,10.51522418
44,27,BANASWADI,Inner,Sarvagna Nagar,East,41212,4.384645249,6.735902164,37.82393478,20.40910414,11.07201786,5.102882656,14.47151315
49,28,KAMMANAHALLI,Inner,Sarvagna Nagar,East,37678,4.066033229,7.317267371,37.92398747,23.03200807,11.67790222,4.355326716,11.62747492
48,29,KACHARAKANAHALLI,Inner,Sarvagna Nagar,East,28673,4.125832665,6.870575105,33.94831374,21.64754298,12.1577791,5.343005615,15.90695079
65,30,KADUGONDANAHALLI,Inner,Sarvagna Nagar,East,40245,5.943595478,8.522797863,40.86470369,21.96546155,10.21741831,3.655112436,8.830910672
66,31,KUSHALNAGAR,Inner,Sri N Chandrashekar Raju ,East,29378,6.988222479,10.58955681,40.95581728,20.21921165,9.69432909,3.366464701,8.186397985
67,32,KAVAL BYRASANDRA,Inner,Pulakeshinagar,East,34187,6.092959312,9.123350981,38.73694679,19.55129143,10.95153128,4.557287858,10.98663235
68,33,MANORAYANAPALYA,Inner,Hebbal,East,35241,6.237053432,9.514485968,40.72812917,20.11009903,10.26645101,3.796714055,9.347067336
61,34,GANGENAHALLI,Inner,Hebbal,East,19186,5.441467737,8.474929636,36.94360471,21.05702074,11.95142291,4.487647243,11.64390702
62,35,ARAMANENAGAR,Inner,Malleshwaram,West,23620,5.846740051,9.364944962,31.76121931,19.50465707,13.03556308,5.16934801,15.31752752
63,36,MATTIKERE,Inner,Malleshwaram,West,31246,6.35281316,8.618703194,38.21609166,20.57863407,10.61895923,3.994111246,11.62068745
64,37,YESHWANTPUR,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,38266,5.913866095,9.909580306,40.75680761,20.69983798,10.40349135,3.687346469,8.629070193
57,38,HMT,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,33133,6.045332448,9.938731778,45.14230525,20.69236109,8.915582652,2.858177648,6.40750913
58,39,CHOKKASANDRA,Outer,Dasarahalli,Dasarahalli,45526,6.420506963,10.62030488,48.01212494,18.84857005,7.907569301,2.587532399,5.603391469
79,40,Doddabidarakallu,Outer,Yeshwanthpur,Rajarajeshwari Nagara,66526,6.989748369,11.96224033,47.26272435,18.83173496,7.222739981,2.349457355,5.381354658
78,41,PEENYA INDUSTRIAL AREA,Outer,Dasarahalli,Dasarahalli,39993,7.551321481,11.43700148,47.96839447,18.49073588,6.968719526,2.192883755,5.390943415
81,42,LAKSHMI DEVI NAGARA,Inner,Rajarajeshwari Nagar,Rajarajeshwari Nagara,32754,6.286255114,11.15588936,47.5025951,19.75025951,7.574647371,2.772180497,4.958173048
80,43,NANDINI LAYOUT,Inner,Mahalakshmi Layout,West,44336,6.473294839,10.44523638,43.27408878,19.48754962,9.464092385,3.32912306,7.52661494
83,44,MARAPPANAPALYA,Inner,Mahalakshmi Layout,West,32855,5.76168011,9.045807335,41.32704307,20.77613757,9.812813879,3.929386699,9.347131335
82,45,MALLESWARAM,Inner,Malleshwaram,West,29357,6.100759614,7.940184624,35.69165787,20.34267807,11.76210103,4.564499097,13.5981197
85,46,JC NAGAR,Inner,Hebbal,East,23119,5.445737272,7.305679311,35.94446127,21.15143389,11.54029154,4.386002855,14.22639388
84,47,DEVARA JEEVANAHALLI,Inner,Pulakeshinagar,East,31308,5.963332056,10.29768749,43.40104766,20.29513223,8.949789191,3.165325157,7.927686214
