Ward	Age	Voters
WE157	18	33
WE157	19	281
WE157	20	403
WE157	21	562
WE157	22	677
WE157	23	590
WE157	24	640
WE157	25	667
WE157	26	904
WE157	27	1063
WE157	28	1045
WE157	29	971
WE157	30	1142
WE157	31	1138
WE157	32	1166
WE157	33	1137
WE157	34	953
WE157	35	964
WE157	36	1047
WE157	37	855
WE157	38	1085
WE157	39	841
WE157	40	759
WE157	41	697
WE157	42	723
WE157	43	794
WE157	44	678
WE157	45	484
WE157	46	600
WE157	47	519
WE157	48	630
WE157	49	502
WE157	50	422
WE157	51	381
WE157	52	336
WE157	53	508
WE157	54	389
WE157	55	278
WE157	56	341
WE157	57	283
WE157	58	345
WE157	59	338
WE157	60	230
WE157	61	241
WE157	62	242
WE157	63	288
WE157	64	218
WE157	65	147
WE157	66	183
WE157	67	172
WE157	68	213
WE157	69	144
WE157	70	104
WE157	71	87
WE157	72	105
WE157	73	130
WE157	74	94
WE157	75	50
WE157	76	52
WE157	77	50
WE157	78	61
WE157	79	42
WE157	80	21
WE157	81	23
WE157	82	12
WE157	83	23
WE157	84	18
WE157	85	13
WE157	86	12
WE157	87	11
WE157	88	15
WE157	89	10
WE157	90	1
WE157	91	3
WE157	92	3
WE157	93	3
WE157	94	4
WE157	95	1
WE157	96	2
WE157	97	2
WE157	98	1
WE157	99	1
WE156	18	29
WE156	19	265
WE156	20	436
WE156	21	490
WE156	22	585
WE156	23	560
WE156	24	654
WE156	25	658
WE156	26	838
WE156	27	892
WE156	28	963
WE156	29	940
WE156	30	970
WE156	31	994
WE156	32	1050
WE156	33	1036
WE156	34	994
WE156	35	991
WE156	36	1059
WE156	37	916
WE156	38	998
WE156	39	903
WE156	40	799
WE156	41	788
WE156	42	749
WE156	43	807
WE156	44	746
WE156	45	582
WE156	46	714
WE156	47	591
WE156	48	595
WE156	49	582
WE156	50	511
WE156	51	533
WE156	52	500
WE156	53	476
WE156	54	467
WE156	55	434
WE156	56	508
WE156	57	403
WE156	58	353
WE156	59	375
WE156	60	361
WE156	61	348
WE156	62	340
WE156	63	321
WE156	64	300
WE156	65	258
WE156	66	284
WE156	67	272
WE156	68	242
WE156	69	213
WE156	70	183
WE156	71	171
WE156	72	157
WE156	73	146
WE156	74	136
WE156	75	112
WE156	76	135
WE156	77	103
WE156	78	88
WE156	79	83
WE156	80	77
WE156	81	83
WE156	82	54
WE156	83	51
WE156	84	49
WE156	85	32
WE156	86	25
WE156	87	18
WE156	88	29
WE156	89	22
WE156	90	10
WE156	91	12
WE156	92	12
WE156	93	5
WE156	94	6
WE156	95	3
WE156	96	3
WE156	97	1
WE156	99	2
WE156	100	1
WE156	101	2
WE156	102	1
WE155	18	33
WE155	19	231
WE155	20	473
WE155	21	489
WE155	22	562
WE155	23	495
WE155	24	548
WE155	25	648
WE155	26	711
WE155	27	771
WE155	28	803
WE155	29	829
WE155	30	806
WE155	31	820
WE155	32	1078
WE155	33	962
WE155	34	994
WE155	35	971
WE155	36	961
WE155	37	804
WE155	38	866
WE155	39	869
WE155	40	825
